dateDecimal	date	driveInfo	sizeInMb	sizeInGb	cost	dollarsPerGb	predictedDollarsPerGb	logCostPerGb	predictedLogCostPerGb
1980.00	1980 January	Morrow Designs	26	0.026	5000.00	193000.00	1974730.74	5.29	6.3
1980.50	1980 July	North Star	18	0.018	4199.00	233000.00	1480897.96	5.37	6.17
1981.67	1981 September	Apple	5	0.005	3500.00	700000.00	756656.41	5.85	5.88
1981.83	1981 November	Seagate	5	0.005	1700.00	340000.00	687444.75	5.53	5.84
1981.92	1981 December	VR Data Corp.	6.3	0.006	2895.00	460000.00	655250.47	5.66	5.82
1981.92	1981 December	Morrow Designs	10	0.010	2999.00	300000.00	655250.47	5.48	5.82
1981.92	1981 December	Morrow Designs	10	0.010	2949.00	295000.00	655250.47	5.47	5.82
1981.92	1981 December	VR Data Corp.	19	0.019	5495.00	289000.00	655250.47	5.46	5.82
1981.92	1981 December	Morrow Designs	20	0.020	3829.00	191000.00	655250.47	5.28	5.82
1981.92	1981 December	Morrow Designs	26	0.026	3949.00	152000.00	655250.47	5.18	5.82
1981.92	1981 December	Morrow Designs	26	0.026	3599.00	138000.00	655250.47	5.14	5.82
1982.17	1982 March	Xebec				260000.00	567434.80	5.41	5.75
1983.92	1983 December	Corvus	6	0.006	1895.00	316000.00	207241.32	5.5	5.32
1983.92	1983 December	Corvus	10	0.010	2695.00	270000.00	207241.32	5.43	5.32
1983.92	1983 December	Xcomp	10	0.010	1895.00	190000.00	207241.32	5.28	5.32
1983.92	1983 December	Corvus	20	0.020	3495.00	175000.00	207241.32	5.24	5.32
1983.92	1983 December	Davong	10	0.010	1650.00	165000.00	207241.32	5.22	5.32
1983.92	1983 December	Xcomp	16	0.016	2095.00	131000.00	207241.32	5.12	5.32
1983.92	1983 December	Davong	21	0.021	2495.00	119000.00	207241.32	5.08	5.32
1984.17	1984 March	Percom/Tandon	5	0.005	1399.00	280000.00	179467.15	5.45	5.25
1984.17	1984 March		5	0.005	1349.00	270000.00	179467.15	5.43	5.25
1984.17	1984 March	Percom/Tandon	10	0.010	1699.00	170000.00	179467.15	5.23	5.25
1984.17	1984 March		10	0.010	1599.00	160000.00	179467.15	5.2	5.25
1984.17	1984 March	Percom/Tandon	15	0.015	2095.00	140000.00	179467.15	5.15	5.25
1984.17	1984 March		15	0.015	1999.00	133000.00	179467.15	5.12	5.25
1984.17	1984 March	Percom/Tandon	20	0.020	2399.00	120000.00	179467.15	5.08	5.25
1984.17	1984 March		20	0.020	2359.00	118000.00	179467.15	5.07	5.25
1984.33	1984 May	Tecmar	5	0.005	1495.00	299000.00	163051.22	5.48	5.21
1984.33	1984 May	Corvus	6	0.006	1695.00	283000.00	163051.22	5.45	5.21
1984.33	1984 May	Corvus	11	0.011	2350.00	214000.00	163051.22	5.33	5.21
1984.33	1984 May	Comrex	10	0.010	1995.00	200000.00	163051.22	5.3	5.21
1984.33	1984 May	CTI	11	0.011	1995.00	181000.00	163051.22	5.26	5.21
1984.33	1984 May	Davong	10	0.010	1645.00	165000.00	163051.22	5.22	5.21
1984.33	1984 May	Corvus	20	0.020	3150.00	158000.00	163051.22	5.2	5.21
1984.33	1984 May	Davong	15	0.015	2095.00	140000.00	163051.22	5.15	5.21
1984.33	1984 May	Davong	21	0.021	2495.00	119000.00	163051.22	5.08	5.21
1984.33	1984 May	Pegasus (Great Lakes)	10	0.010	1075.00	108000.00	163051.22	5.03	5.21
1984.33	1984 May	Pegasus (Great Lakes)	23	0.023	1845.00	80000.00	163051.22	4.9	5.21
